session_id,user_id,src_ip,country,start_time,end_time,duration_seconds,num_events,total_bytes,avg_bytes_per_event,distinct_dst_ips,num_failed_logins,num_success_logins,num_web,num_data_transfer,num_scan,hour_of_day,requests_per_minute,ip_request_freq,country_unusual,label
sess_001,user_12,192.168.1.10,JO,2026-05-04 09:00:00,2026-05-04 09:00:00,0.0,1,1200,1200.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_002,user_15,192.168.1.11,JO,2026-05-04 09:00:01,2026-05-04 09:00:01,0.0,1,1300,1300.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_003,user_21,192.168.1.12,JO,2026-05-04 09:00:02,2026-05-04 09:00:02,0.0,1,800,800.0,1,0,1,0,0,0,9,60.0,1,0,normal
sess_010,user_30,192.168.1.20,JO,2026-05-04 09:04:00,2026-05-04 09:04:00,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_011,user_31,192.168.1.21,JO,2026-05-04 09:04:01,2026-05-04 09:04:01,0.0,1,1350,1350.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_020,user_40,192.168.1.60,JO,2026-05-04 09:06:00,2026-05-04 09:06:00,0.0,1,1250,1250.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_021,user_41,192.168.1.61,JO,2026-05-04 09:06:01,2026-05-04 09:06:01,0.0,1,1300,1300.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_022,user_42,192.168.1.62,JO,2026-05-04 09:06:02,2026-05-04 09:06:02,0.0,1,1350,1350.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_023,user_43,192.168.1.63,JO,2026-05-04 09:06:03,2026-05-04 09:06:03,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_024,user_44,192.168.1.64,JO,2026-05-04 09:06:04,2026-05-04 09:06:04,0.0,1,850,850.0,1,0,1,0,0,0,9,60.0,1,0,normal
sess_025,user_45,192.168.1.65,JO,2026-05-04 09:06:05,2026-05-04 09:06:08,3.0,4,15530,3882.5,2,2,1,0,1,0,9,80.0,4,0,suspicious
sess_026,user_46,192.168.1.66,JO,2026-05-04 09:06:09,2026-05-04 09:06:09,0.0,1,1200,1200.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_027,user_47,192.168.1.67,JO,2026-05-04 09:06:10,2026-05-04 09:06:10,0.0,1,1250,1250.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_028,user_48,192.168.1.68,JO,2026-05-04 09:06:11,2026-05-04 09:06:11,0.0,1,1300,1300.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_029,user_49,192.168.1.69,JO,2026-05-04 09:06:15,2026-05-04 09:06:15,0.0,1,1350,1350.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_030,user_50,192.168.1.70,JO,2026-05-04 09:06:16,2026-05-04 09:06:16,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_031,user_51,192.168.1.71,JO,2026-05-04 09:06:17,2026-05-04 09:06:17,0.0,1,880,880.0,1,0,1,0,0,0,9,60.0,1,0,normal
sess_032,user_52,192.168.1.72,JO,2026-05-04 09:06:18,2026-05-04 09:06:21,3.0,4,16620,4155.0,2,2,1,0,1,0,9,80.0,4,0,suspicious
sess_033,user_53,192.168.1.73,JO,2026-05-04 09:06:22,2026-05-04 09:06:22,0.0,1,1200,1200.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_034,user_54,192.168.1.74,JO,2026-05-04 09:06:23,2026-05-04 09:06:23,0.0,1,1250,1250.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_035,user_55,192.168.1.75,JO,2026-05-04 09:06:24,2026-05-04 09:06:24,0.0,1,1300,1300.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_036,user_56,192.168.1.76,JO,2026-05-04 09:06:25,2026-05-04 09:06:25,0.0,1,1350,1350.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_037,user_57,192.168.1.77,JO,2026-05-04 09:06:28,2026-05-04 09:06:28,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_038,user_58,192.168.1.78,JO,2026-05-04 09:06:29,2026-05-04 09:06:29,0.0,1,1450,1450.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_039,user_59,192.168.1.79,JO,2026-05-04 09:06:30,2026-05-04 09:06:30,0.0,1,870,870.0,1,0,1,0,0,0,9,60.0,1,0,normal
sess_040,user_60,192.168.1.80,JO,2026-05-04 09:06:31,2026-05-04 09:06:34,3.0,4,17630,4407.5,2,2,1,0,1,0,9,80.0,4,0,suspicious
sess_041,user_61,192.168.1.81,JO,2026-05-04 09:06:35,2026-05-04 09:06:35,0.0,1,1200,1200.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_042,user_62,192.168.1.82,JO,2026-05-04 09:06:36,2026-05-04 09:06:36,0.0,1,1250,1250.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_043,user_63,192.168.1.83,JO,2026-05-04 09:06:37,2026-05-04 09:06:37,0.0,1,1300,1300.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_044,user_64,192.168.1.84,JO,2026-05-04 09:06:38,2026-05-04 09:06:38,0.0,1,1350,1350.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_045,user_65,192.168.1.85,JO,2026-05-04 09:06:39,2026-05-04 09:06:39,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_046,user_66,192.168.1.86,JO,2026-05-04 09:06:40,2026-05-04 09:06:40,0.0,1,880,880.0,1,0,1,0,0,0,9,60.0,1,0,normal
sess_047,user_67,192.168.1.87,JO,2026-05-04 09:06:41,2026-05-04 09:06:44,3.0,4,16620,4155.0,2,2,1,0,1,0,9,80.0,4,0,suspicious
sess_048,user_68,192.168.1.88,JO,2026-05-04 09:06:45,2026-05-04 09:06:45,0.0,1,1200,1200.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_049,user_69,192.168.1.89,JO,2026-05-04 09:06:46,2026-05-04 09:06:46,0.0,1,1250,1250.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_050,user_70,192.168.1.90,JO,2026-05-04 09:06:47,2026-05-04 09:06:47,0.0,1,1300,1300.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_051,user_71,192.168.1.91,JO,2026-05-04 09:06:48,2026-05-04 09:06:48,0.0,1,1350,1350.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_052,user_72,192.168.1.92,JO,2026-05-04 09:06:49,2026-05-04 09:06:49,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_053,user_73,192.168.1.93,JO,2026-05-04 09:06:50,2026-05-04 09:06:50,0.0,1,1450,1450.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_054,user_74,192.168.1.94,JO,2026-05-04 09:06:51,2026-05-04 09:06:51,0.0,1,880,880.0,1,0,1,0,0,0,9,60.0,1,0,normal
sess_055,user_75,192.168.1.95,JO,2026-05-04 09:06:52,2026-05-04 09:06:55,3.0,4,17630,4407.5,2,2,1,0,1,0,9,80.0,4,0,suspicious
sess_056,user_76,192.168.1.96,JO,2026-05-04 09:06:56,2026-05-04 09:06:56,0.0,1,1200,1200.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_057,user_77,192.168.1.97,JO,2026-05-04 09:06:57,2026-05-04 09:06:57,0.0,1,1250,1250.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_058,user_78,192.168.1.98,JO,2026-05-04 09:06:58,2026-05-04 09:06:58,0.0,1,1300,1300.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_059,user_79,192.168.1.99,JO,2026-05-04 09:06:59,2026-05-04 09:06:59,0.0,1,1350,1350.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_060,user_80,192.168.1.100,JO,2026-05-04 09:07:00,2026-05-04 09:07:00,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_061,user_81,192.168.1.101,JO,2026-05-04 09:07:01,2026-05-04 09:07:01,0.0,1,1410,1410.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_062,user_82,192.168.1.102,JO,2026-05-04 09:07:02,2026-05-04 09:07:02,0.0,1,1420,1420.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_063,user_83,192.168.1.103,JO,2026-05-04 09:07:03,2026-05-04 09:07:05,2.0,3,1750,583.3333333333334,1,2,1,0,0,0,9,90.0,3,0,suspicious
sess_064,user_84,192.168.1.104,US,2026-05-04 09:07:06,2026-05-04 09:07:06,0.0,1,12000,12000.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_065,user_85,192.168.1.105,US,2026-05-04 09:07:07,2026-05-04 09:07:07,0.0,1,12500,12500.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_066,unknown,198.51.100.101,CN,2026-05-04 09:07:08,2026-05-04 09:07:09,1.0,2,40500,20250.0,1,0,0,0,0,0,9,120.0,2,1,suspicious
sess_067,unknown,203.0.113.20,RU,2026-05-04 09:07:10,2026-05-04 09:07:15,5.0,4,1480,370.0,4,0,0,1,0,3,9,48.0,3,1,suspicious
sess_068,user_87,192.168.1.107,JO,2026-05-04 09:07:11,2026-05-04 09:07:11,0.0,1,1320,1320.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_069,user_88,192.168.1.108,JO,2026-05-04 09:07:12,2026-05-04 09:07:12,0.0,1,1340,1340.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_070,user_89,192.168.1.109,JO,2026-05-04 09:07:16,2026-05-04 09:07:16,0.0,1,1360,1360.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_071,user_90,192.168.1.110,JO,2026-05-04 09:07:17,2026-05-04 09:07:17,0.0,1,1380,1380.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_072,user_91,192.168.1.111,JO,2026-05-04 09:07:18,2026-05-04 09:07:18,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_073,user_92,192.168.1.112,JO,2026-05-04 09:07:19,2026-05-04 09:07:21,2.0,3,2420,806.6666666666666,1,2,1,0,0,0,9,90.0,3,0,suspicious
sess_074,user_93,192.168.1.113,US,2026-05-04 09:07:22,2026-05-04 09:07:22,0.0,1,11000,11000.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_075,user_94,192.168.1.114,US,2026-05-04 09:07:23,2026-05-04 09:07:23,0.0,1,11500,11500.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_076,user_95,192.168.1.115,JO,2026-05-04 09:07:24,2026-05-04 09:07:24,0.0,1,1220,1220.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_077,user_96,192.168.1.116,JO,2026-05-04 09:07:25,2026-05-04 09:07:25,0.0,1,1240,1240.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_078,user_97,192.168.1.117,JO,2026-05-04 09:07:26,2026-05-04 09:07:26,0.0,1,1260,1260.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_079,user_98,192.168.1.118,JO,2026-05-04 09:07:27,2026-05-04 09:07:27,0.0,1,1280,1280.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_080,unknown,203.0.113.30,RU,2026-05-04 09:07:28,2026-05-04 09:07:30,2.0,3,180,60.0,3,0,0,0,0,3,9,90.0,3,1,suspicious
sess_081,user_99,192.168.1.119,JO,2026-05-04 09:07:31,2026-05-04 09:07:31,0.0,1,1290,1290.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_082,user_100,192.168.1.120,JO,2026-05-04 09:07:32,2026-05-04 09:07:32,0.0,1,1310,1310.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_083,user_101,192.168.1.121,JO,2026-05-04 09:07:33,2026-05-04 09:07:33,0.0,1,1330,1330.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_084,user_102,192.168.1.122,JO,2026-05-04 09:07:34,2026-05-04 09:07:36,2.0,3,2470,823.3333333333334,1,2,1,0,0,0,9,90.0,3,0,suspicious
sess_085,user_103,192.168.1.123,US,2026-05-04 09:07:37,2026-05-04 09:07:37,0.0,1,13500,13500.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_086,user_104,192.168.1.124,US,2026-05-04 09:07:38,2026-05-04 09:07:38,0.0,1,14000,14000.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_087,user_105,192.168.1.125,JO,2026-05-04 09:07:39,2026-05-04 09:07:39,0.0,1,1360,1360.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_088,user_106,192.168.1.126,JO,2026-05-04 09:07:40,2026-05-04 09:07:40,0.0,1,1370,1370.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_089,user_107,192.168.1.127,JO,2026-05-04 09:07:41,2026-05-04 09:07:41,0.0,1,1380,1380.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_090,unknown,198.51.100.102,CN,2026-05-04 09:07:42,2026-05-04 09:07:43,1.0,2,42500,21250.0,1,0,0,0,0,0,9,120.0,2,1,suspicious
sess_091,user_108,192.168.1.128,JO,2026-05-04 09:07:44,2026-05-04 09:07:44,0.0,1,1390,1390.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_092,user_109,192.168.1.129,JO,2026-05-04 09:07:45,2026-05-04 09:07:45,0.0,1,1400,1400.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_093,user_110,192.168.1.130,JO,2026-05-04 09:07:46,2026-05-04 09:07:46,0.0,1,1410,1410.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_094,user_111,192.168.1.131,JO,2026-05-04 09:07:47,2026-05-04 09:07:49,2.0,3,2520,840.0,1,2,1,0,0,0,9,90.0,3,0,suspicious
sess_095,user_112,192.168.1.132,US,2026-05-04 09:07:50,2026-05-04 09:07:50,0.0,1,12500,12500.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_096,user_113,192.168.1.133,US,2026-05-04 09:07:51,2026-05-04 09:07:51,0.0,1,12800,12800.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_097,user_114,192.168.1.134,JO,2026-05-04 09:07:52,2026-05-04 09:07:52,0.0,1,1420,1420.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_098,user_115,192.168.1.135,JO,2026-05-04 09:07:53,2026-05-04 09:07:53,0.0,1,1430,1430.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_099,user_116,192.168.1.136,JO,2026-05-04 09:07:54,2026-05-04 09:07:54,0.0,1,1440,1440.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_100,unknown,203.0.113.5,RU,2026-05-04 09:00:10,2026-05-04 09:07:57,467.0,6,360,60.0,6,0,0,0,0,6,9,0.7708779443254818,3,1,suspicious
sess_101,user_117,192.168.1.137,JO,2026-05-04 09:07:58,2026-05-04 09:07:58,0.0,1,1450,1450.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_102,user_118,192.168.1.138,JO,2026-05-04 09:07:59,2026-05-04 09:07:59,0.0,1,1460,1460.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_103,user_119,192.168.1.139,JO,2026-05-04 09:08:00,2026-05-04 09:08:00,0.0,1,1470,1470.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_104,user_120,192.168.1.140,JO,2026-05-04 09:08:01,2026-05-04 09:08:03,2.0,3,2570,856.6666666666666,1,2,1,0,0,0,9,90.0,3,0,suspicious
sess_105,user_121,192.168.1.141,US,2026-05-04 09:08:04,2026-05-04 09:08:04,0.0,1,13000,13000.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_106,user_122,192.168.1.142,US,2026-05-04 09:08:05,2026-05-04 09:08:05,0.0,1,13200,13200.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_107,unknown,198.51.100.103,CN,2026-05-04 09:08:06,2026-05-04 09:08:07,1.0,2,44500,22250.0,1,0,0,0,0,0,9,120.0,2,1,suspicious
sess_108,user_123,192.168.1.143,JO,2026-05-04 09:08:08,2026-05-04 09:08:08,0.0,1,1480,1480.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_109,user_124,192.168.1.144,JO,2026-05-04 09:08:09,2026-05-04 09:08:09,0.0,1,1490,1490.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_110,user_125,192.168.1.145,JO,2026-05-04 09:08:10,2026-05-04 09:08:10,0.0,1,1500,1500.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_111,user_126,192.168.1.146,JO,2026-05-04 09:08:11,2026-05-04 09:08:13,2.0,3,2620,873.3333333333334,1,2,1,0,0,0,9,90.0,3,0,suspicious
sess_112,user_127,192.168.1.147,US,2026-05-04 09:08:14,2026-05-04 09:08:14,0.0,1,14200,14200.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_113,user_128,192.168.1.148,US,2026-05-04 09:08:15,2026-05-04 09:08:15,0.0,1,14500,14500.0,1,0,0,0,1,0,9,60.0,1,0,suspicious
sess_114,user_129,192.168.1.149,JO,2026-05-04 09:08:16,2026-05-04 09:08:16,0.0,1,1510,1510.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_115,user_130,192.168.1.150,JO,2026-05-04 09:08:17,2026-05-04 09:08:17,0.0,1,1520,1520.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_116,user_131,192.168.1.151,JO,2026-05-04 09:08:18,2026-05-04 09:08:18,0.0,1,1530,1530.0,1,0,0,1,0,0,9,60.0,1,0,normal
sess_117,unknown,203.0.113.60,RU,2026-05-04 09:08:19,2026-05-04 09:08:21,2.0,3,180,60.0,3,0,0,0,0,3,9,90.0,3,1,suspicious
sess_118,user_132,192.168.1.152,JO,2026-05-04 09:08:22,2026-05-04 09:08:22,0.0,1,1540,1540.0,1,0,0,1,0,0,9,60.0,1,0,normal
